page_no,priority,reason,suspected_content,recommended_next_stage_action,review_required
9,high,关键词命中：价值链/上游/下游/设计/制造/封装/应用；表格候选；图表候选；产业链图候选，需人工确认,关键词支持内容：价值链/上游/下游/设计/制造/封装/应用；含表格候选；含图表候选；可能含产业链/上下游相关图文,visual_review_diagram,yes
8,high,关键词命中：价值链/上游/下游/设计/制造/封装/应用；表格候选；图表候选,关键词支持内容：价值链/上游/下游/设计/制造/封装/应用；含表格候选；含图表候选,extract_table_structure,yes
22,high,关键词命中：产业链/价值链/上游/下游/设计/制造/应用/国产替代,关键词支持内容：产业链/价值链/上游/下游/设计/制造/应用/国产替代,extract_native_text,no
10,high,关键词命中：价值链/上游/下游/设计/制造/封装/测试/应用,关键词支持内容：价值链/上游/下游/设计/制造/封装/测试/应用,extract_native_text,no
14,high,关键词命中：价值链/下游/设计/制造/封装/测试；图表候选；产业链图候选，需人工确认,关键词支持内容：价值链/下游/设计/制造/封装/测试；含图表候选；可能含产业链/上下游相关图文,visual_review_diagram,yes
18,high,关键词命中：供应链/上游/下游/设计/应用；图表候选,关键词支持内容：供应链/上游/下游/设计/应用；含图表候选,manual_inspection,yes
6,high,关键词命中：上游/下游/设计/制造/封装/应用,关键词支持内容：上游/下游/设计/制造/封装/应用,extract_native_text,no
3,high,关键词命中：产业链/价值链/下游/设计,关键词支持内容：产业链/价值链/下游/设计,extract_native_text,no
23,high,关键词命中：上游/下游/设计/封装,关键词支持内容：上游/下游/设计/封装,extract_native_text,no
5,medium,关键词命中：产业链/价值链/设计,关键词支持内容：产业链/价值链/设计,extract_native_text,no
7,medium,关键词命中：产业链/下游；图表候选,关键词支持内容：产业链/下游；含图表候选,manual_inspection,yes
11,medium,关键词命中：上游/设计/制造/应用；图表候选,关键词支持内容：上游/设计/制造/应用；含图表候选,manual_inspection,yes
16,medium,关键词命中：上游/设计/制造/封装/测试,关键词支持内容：上游/设计/制造/封装/测试,extract_native_text,no
17,medium,关键词命中：供应链/设计；表格候选；图表候选,关键词支持内容：供应链/设计；含表格候选；含图表候选,extract_table_structure,yes
13,medium,关键词命中：制造/封装/测试；表格候选；图表候选,关键词支持内容：制造/封装/测试；含表格候选；含图表候选,extract_table_structure,yes
15,medium,关键词命中：设计/制造/应用；表格候选；图表候选,关键词支持内容：设计/制造/应用；含表格候选；含图表候选,extract_table_structure,yes
12,medium,关键词命中：设计/制造；表格候选；图表候选,关键词支持内容：设计/制造；含表格候选；含图表候选,extract_table_structure,yes
19,medium,关键词命中：设计；表格候选；图表候选,关键词支持内容：设计；含表格候选；含图表候选,extract_table_structure,yes
20,medium,关键词命中：制造；表格候选；图表候选,关键词支持内容：制造；含表格候选；含图表候选,extract_table_structure,yes
21,medium,关键词命中：设计；表格候选；图表候选,关键词支持内容：设计；含表格候选；含图表候选,extract_table_structure,yes
