entity_id,canonical_name,entity_type,entity_level,value_chain_stage,reason,recommended_template_node
CE0002,新型显示产业,industry,L0_industry,cross_stage,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0004,显示材料,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0005,配套材料,material,L4_object,upstream,泛化/禁用节点不进入树；仅保留具体产业链内容,补充明确关系证据后再进入树
CE0007,产业链协同,industry,L0_industry,cross_stage,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0009,创新链,industry_link,L3_industry_link,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0010,短板材料,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0011,核心技术,technology,L4_object,supporting,泛化/禁用节点不进入树；仅保留具体产业链内容,补充明确关系证据后再进入树
CE0012,关键原材料,material,L4_object,upstream,泛化/禁用节点不进入树；仅保留具体产业链内容,补充明确关系证据后再进入树
CE0013,OLED材料,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0014,显示芯片,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0015,掩模版,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0016,靶材,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0018,液晶材料,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0019,上下游,industry_link,L3_industry_link,unknown,泛化/禁用节点不进入树；仅保留具体产业链内容,补充明确关系证据后再进入树
CE0020,材料,material,L4_object,upstream,泛化/禁用节点不进入树；仅保留具体产业链内容,补充明确关系证据后再进入树
CE0021,工艺,process,L4_object,midstream,泛化/禁用节点不进入树；仅保留具体产业链内容,补充明确关系证据后再进入树
CE0022,产品,product,L4_object,unknown,泛化/禁用节点不进入树；仅保留具体产业链内容,补充明确关系证据后再进入树
CE0023,偏光片,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0024,有机发光材料,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0025,全面屏手机,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0026,K/8K电视,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0027,AR/VR,application,L4_object,downstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0028,可穿戴设备,application,L4_object,downstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0029,显示面板,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0030,湿电子化学品,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0041,新型显示产业链,industry,L0_industry,cross_stage,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0043,产业生态,industry_link,L3_industry_link,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
