node_label,depth,parent_label,child_count,evidence_count,entity_count,is_company_node,is_display_schema_node,quality_status,issue,recommended_action
晶圆制造,1,半导体产业链,3,0,1,false,false,ok,,保持
计算芯片,1,半导体产业链,2,0,1,false,false,ok,,保持
半导体产品与应用,1,半导体产业链,9,4,0,false,true,ok,,保持
半导体材料,1,半导体产业链,7,2,0,false,true,ok,,保持
半导体核心环节,1,半导体产业链,5,5,0,false,true,ok,,保持
半导体技术,1,半导体产业链,3,3,0,false,true,ok,,保持
半导体设备,1,半导体产业链,3,2,0,false,true,ok,,保持
光刻,2,晶圆制造,0,1,1,false,false,ok,,保持
沉积,2,晶圆制造,0,1,1,false,false,ok,,保持
离子注入,2,晶圆制造,0,1,1,false,false,ok,,保持
ASIC,2,计算芯片,0,1,1,false,false,ok,,保持
GPU,2,计算芯片,0,1,1,false,false,ok,,保持
AI推理芯片,2,半导体产品与应用,1,1,1,false,false,ok,,保持
传感器,2,半导体产品与应用,0,1,1,false,false,ok,,保持
光电子器件,2,半导体产品与应用,0,1,1,false,false,ok,,保持
分立器件,2,半导体产品与应用,0,1,1,false,false,ok,,保持
智能化,2,半导体产品与应用,0,1,1,false,false,ok,,保持
汽车半导体,2,半导体产品与应用,0,1,1,false,false,ok,,保持
电动车,2,半导体产品与应用,0,1,1,false,false,ok,,保持
网联化,2,半导体产品与应用,0,1,1,false,false,ok,,保持
集成电路,2,半导体产品与应用,0,1,1,false,false,ok,,保持
光刻胶,2,半导体材料,0,1,1,false,false,ok,,保持
化学品,2,半导体材料,0,1,1,false,false,ok,,保持
基材,2,半导体材料,0,1,1,false,false,ok,,保持
封装材料,2,半导体材料,0,1,1,false,false,ok,,保持
气体,2,半导体材料,0,1,1,false,false,ok,,保持
硅片,2,半导体材料,0,1,1,false,false,ok,,保持
金属,2,半导体材料,0,1,1,false,false,ok,,保持
代工,2,半导体核心环节,0,1,1,false,false,ok,,保持
OSAT,2,半导体核心环节,0,1,1,false,false,ok,,保持
刻蚀,2,半导体核心环节,0,1,1,false,false,ok,,保持
半导体设计制造,2,半导体核心环节,1,1,1,false,false,ok,,保持
封测,2,半导体核心环节,0,1,1,false,false,ok,,保持
2.5D/3D先进封装,2,半导体技术,0,1,1,false,false,ok,,保持
EDA软件,2,半导体技术,1,1,1,false,false,ok,,保持
先进封装技术,2,半导体技术,0,1,1,false,false,ok,,保持
光刻机,2,半导体设备,0,1,1,false,false,ok,,保持
晶圆缺陷监测系统,2,半导体设备,0,1,1,false,false,ok,,保持
沉积设备,2,半导体设备,0,1,1,false,false,ok,,保持
芯片,3,AI推理芯片,0,1,1,false,false,ok,,保持
设计,3,半导体设计制造,0,1,1,false,false,ok,,保持
EDA,3,EDA软件,0,1,1,false,false,ok,,保持
